avg_distance_km,bag_size_kg,bags_available,bags_ordered,batch_id,buyer_type,capacity_per_day,contact,created_at,facilities_count,facility_id,facility_name,farmer_id,farmer_name,farmers_count,fruit_type,inventory_id,last_update_at,order_at,order_id,order_status,price_per_bag,price_per_kg,product_id,qty_kg,region_id,region_name,released_at,source_inventory_id,start_at,status,surplus_kg,table_type
,,,,,,,,2025-10-15,,,,F008,,,Apple,I0004,,,,,,4.13,,,,,,,,,256,inventory
,,,,,,,,2025-10-15,,,,F030,,,Apple,I0005,,,,,,5.39,,,,,,,,,283,inventory
,,,,,,,,2025-10-15,,,,F030,,,Strawberry,I0006,,,,,,10.44,,,,,,,,,274,inventory
,,,,,,,,2025-10-15,,,,F004,,,Grape,I0007,,,,,,11.79,,,,,,,,,177,inventory
,,,,,,,,2025-10-15,,,,F013,,,Orange,I0008,,,,,,4.49,,,,,,,,,85,inventory
,,,,,,,,2025-10-15,,,,F013,,,Strawberry,I0009,,,,,,10.08,,,,,,,,,193,inventory
,,,,,,,,2025-10-15,,,,F013,,,Blueberry,I0010,,,,,,20.17,,,,,,,,,241,inventory
,,,,,,,,2025-10-15,,,,F009,,,Orange,I0011,,,,,,5.02,,,,,,,,,85,inventory
,,,,,,,,2025-10-15,,,,F009,,,Blueberry,I0012,,,,,,20.51,,,,,,,,,73,inventory
,,,,,,,,2025-10-15,,,,F009,,,Strawberry,I0013,,,,,,9.22,,,,,,,,,270,inventory
,,,,,,,,2025-10-15,,,,F015,,,Strawberry,I0014,,,,,,9.13,,,,,,,,,202,inventory
,,,,,,,,2025-10-15,,,,F015,,,Grape,I0015,,,,,,12.19,,,,,,,,,147,inventory
,,,,,,,,2025-10-15,,,,F015,,,Orange,I0016,,,,,,5.06,,,,,,,,,169,inventory
,,,,,,,,2025-10-15,,,,F021,,,Cherry,I0017,,,,,,18.77,,,,,,,,,224,inventory
,,,,,,,,2025-10-15,,,,F021,,,Apple,I0018,,,,,,4.03,,,,,,,,,242,inventory
,,,,,,,,2025-10-15,,,,F021,,,Grape,I0019,,,,,,11.68,,,,,,,,,214,inventory
,,,,,,,,2025-10-15,,,,F012,,,Orange,I0020,,,,,,4.01,,,,,,,,,166,inventory
,,,,,,,,2025-10-15,,,,F012,,,Strawberry,I0021,,,,,,10.75,,,,,,,,,234,inventory
,,,,,,,,2025-10-15,,,,F006,,,Mango,I0022,,,,,,15.83,,,,,,,,,179,inventory
,,,,,,,,2025-10-15,,,,F006,,,Strawberry,I0023,,,,,,10.25,,,,,,,,,272,inventory
,,,,,,,,2025-10-15,,,,F022,,,Mango,I0024,,,,,,14.75,,,,,,,,,89,inventory
,,,,,,,,2025-10-15,,,,F022,,,Cherry,I0025,,,,,,18.08,,,,,,,,,91,inventory
,,,,,,,,2025-10-15,,,,F022,,,Strawberry,I0026,,,,,,10.84,,,,,,,,,249,inventory
,,,,,,,,2025-10-15,,,,F020,,,Mango,I0027,,,,,,14.98,,,,,,,,,132,inventory
,,,,,,,,2025-10-15,,,,F007,,,Blueberry,I0028,,,,,,20.97,,,,,,,,,274,inventory
,,,,,,,,2025-10-15,,,,F025,,,Strawberry,I0029,,,,,,10.76,,,,,,,,,111,inventory
,,,,,,,,2025-10-15,,,,F025,,,Apple,I0030,,,,,,3.66,,,,,,,,,292,inventory
,,,,,,,,2025-10-15,,,,F003,,,Orange,I0031,,,,,,4.25,,,,,,,,,246,inventory
,,,,,,,,2025-10-15,,,,F003,,,Apple,I0032,,,,,,4.45,,,,,,,,,218,inventory
,,,,,,,,2025-10-15,,,,F003,,,Mango,I0033,,,,,,14.33,,,,,,,,,190,inventory
,,,,,,,,2025-10-15,,,,F010,,,Cherry,I0034,,,,,,17.42,,,,,,,,,296,inventory
,,,,,,,,2025-10-15,,,,F010,,,Mango,I0035,,,,,,15.51,,,,,,,,,188,inventory
,,,,,,,,2025-10-15,,,,F010,,,Orange,I0036,,,,,,4.4,,,,,,,,,226,inventory
,,,,,,,,2025-10-15,,,,F011,,,Orange,I0037,,,,,,4.75,,,,,,,,,216,inventory
,,,,,,,,2025-10-15,,,,F011,,,Grape,I0038,,,,,,12.04,,,,,,,,,280,inventory
,,,,,,,,2025-10-15,,,,F016,,,Strawberry,I0039,,,,,,9.13,,,,,,,,,107,inventory
,,,,,,,,2025-10-15,,,,F017,,,Mango,I0040,,,,,,14.46,,,,,,,,,191,inventory
,,,,,,,,2025-10-15,,,,F027,,,Apple,I0041,,,,,,4.92,,,,,,,,,68,inventory
,,,,,,,,2025-10-15,,,,F026,,,Strawberry,I0042,,,,,,10.81,,,,,,,,,67,inventory
,,,,,,,,2025-10-16,,,,F003,,,Grape,I0043,,,,,,12.97,,,,,,,,,217,inventory
,,,,,,,,2025-10-16,,,,F017,,,Apple,I0044,,,,,,4.96,,,,,,,,,153,inventory
,,,,,,,,2025-10-16,,,,F008,,,Strawberry,I0045,,,,,,9.38,,,,,,,,,99,inventory
,,,,,,,,2025-10-16,,,,F009,,,Strawberry,I0046,,,,,,9.56,,,,,,,,,96,inventory
,,,,,,,,2025-10-16,,,,F009,,,Orange,I0047,,,,,,5.75,,,,,,,,,113,inventory
,,,,,,,,2025-10-16,,,,F022,,,Orange,I0048,,,,,,5.72,,,,,,,,,256,inventory
,,,,,,,,2025-10-16,,,,F016,,,Apple,I0049,,,,,,3.53,,,,,,,,,264,inventory
,,,,,,,,2025-10-16,,,,F016,,,Cherry,I0050,,,,,,18.85,,,,,,,,,73,inventory
,,,,,,,,2025-10-16,,,,F016,,,Mango,I0051,,,,,,14.47,,,,,,,,,267,inventory
,,,,,,,,2025-10-16,,,,F007,,,Orange,I0052,,,,,,5.73,,,,,,,,,104,inventory
,,,,,,,,2025-10-16,,,,F007,,,Cherry,I0053,,,,,,17.12,,,,,,,,,281,inventory
,,,,,,,,2025-10-16,,,,F018,,,Apple,I0054,,,,,,5.35,,,,,,,,,117,inventory
,,,,,,,,2025-10-16,,,,F018,,,Orange,I0055,,,,,,4.91,,,,,,,,,250,inventory
,,,,,,,,2025-10-16,,,,F005,,,Grape,I0056,,,,,,12.11,,,,,,,,,250,inventory
,,,,,,,,2025-10-16,,,,F005,,,Cherry,I0057,,,,,,17.97,,,,,,,,,233,inventory
,,,,,,,,2025-10-16,,,,F019,,,Blueberry,I0058,,,,,,20.94,,,,,,,,,105,inventory
,,,,,,,,2025-10-16,,,,F021,,,Grape,I0059,,,,,,11.63,,,,,,,,,241,inventory
,,,,,,,,2025-10-16,,,,F021,,,Mango,I0060,,,,,,15.17,,,,,,,,,62,inventory
,,,,,,,,2025-10-16,,,,F021,,,Apple,I0061,,,,,,5.34,,,,,,,,,178,inventory
,,,,,,,,2025-10-16,,,,F025,,,Strawberry,I0062,,,,,,10.7,,,,,,,,,70,inventory
,,,,,,,,2025-10-16,,,,F025,,,Apple,I0063,,,,,,4.69,,,,,,,,,67,inventory
,,,,,,,,2025-10-16,,,,F025,,,Mango,I0064,,,,,,15.72,,,,,,,,,222,inventory
,,,,,,,,2025-10-16,,,,F028,,,Apple,I0065,,,,,,4.66,,,,,,,,,113,inventory
,,,,,,,,2025-10-16,,,,F028,,,Mango,I0066,,,,,,15.24,,,,,,,,,60,inventory
,,,,,,,,2025-10-16,,,,F020,,,Grape,I0067,,,,,,12.05,,,,,,,,,194,inventory
,,,,,,,,2025-10-16,,,,F020,,,Mango,I0068,,,,,,14.52,,,,,,,,,289,inventory
,,,,,,,,2025-10-16,,,,F014,,,Grape,I0069,,,,,,11.79,,,,,,,,,117,inventory
,,,,,,,,2025-10-16,,,,F014,,,Blueberry,I0070,,,,,,20.29,,,,,,,,,221,inventory
,,,,,,,,2025-10-16,,,,F014,,,Strawberry,I0071,,,,,,9.63,,,,,,,,,167,inventory
,,,,,,,,2025-10-16,,,,F004,,,Apple,I0072,,,,,,4.74,,,,,,,,,167,inventory
,,,,,,,,2025-10-16,,,,F002,,,Apple,I0073,,,,,,4.51,,,,,,,,,104,inventory
,,,,,,,,2025-10-16,,,,F002,,,Cherry,I0074,,,,,,18.87,,,,,,,,,83,inventory
,,,,,,,,2025-10-16,,,,F002,,,Mango,I0075,,,,,,14.14,,,,,,,,,275,inventory
,,,,,,,,2025-10-16,,,,F029,,,Blueberry,I0076,,,,,,19.32,,,,,,,,,122,inventory
,,,,,,,,2025-10-16,,,,F011,,,Grape,I0077,,,,,,12.31,,,,,,,,,256,inventory
,,,,,,,,2025-10-16,,,,F011,,,Blueberry,I0078,,,,,,20.34,,,,,,,,,52,inventory
,,,,,,,,2025-10-16,,,,F011,,,Mango,I0079,,,,,,14.6,,,,,,,,,191,inventory
,,,,,,,,2025-10-16,,,,F024,,,Apple,I0080,,,,,,5.28,,,,,,,,,79,inventory
,,,,,,,,2025-10-16,,,,F024,,,Strawberry,I0081,,,,,,10.11,,,,,,,,,240,inventory
,,,,,,,,2025-10-16,,,,F024,,,Blueberry,I0082,,,,,,19.56,,,,,,,,,119,inventory
,,,,,,,,2025-10-16,,,,F006,,,Grape,I0083,,,,,,11.41,,,,,,,,,137,inventory
,,,,,,,,2025-10-16,,,,F012,,,Cherry,I0084,,,,,,17.5,,,,,,,,,175,inventory
,,,,,,,,2025-10-16,,,,F012,,,Blueberry,I0085,,,,,,20.69,,,,,,,,,282,inventory
,,,,,,,,2025-10-16,,,,F012,,,Mango,I0086,,,,,,15.27,,,,,,,,,73,inventory
,,,,,,,,2025-10-16,,,,F027,,,Apple,I0087,,,,,,5.04,,,,,,,,,135,inventory
,,,,,,,,2025-10-16,,,,F027,,,Cherry,I0088,,,,,,18.96,,,,,,,,,213,inventory
,,,,,,,,2025-10-16,,,,F015,,,Grape,I0089,,,,,,12.1,,,,,,,,,163,inventory
,,,,,,,,2025-10-16,,,,F010,,,Mango,I0090,,,,,,14.15,,,,,,,,,78,inventory
,,,,,,,,2025-10-16,,,,F010,,,Apple,I0091,,,,,,4.88,,,,,,,,,276,inventory
,,,,,,,,2025-10-17,,,,F018,,,Grape,I0092,,,,,,11.33,,,,,,,,,271,inventory
,,,,,,,,2025-10-17,,,,F018,,,Strawberry,I0093,,,,,,10.62,,,,,,,,,254,inventory
,,,,,,,,2025-10-17,,,,F018,,,Cherry,I0094,,,,,,17.82,,,,,,,,,275,inventory
,,,,,,,,2025-10-17,,,,F002,,,Grape,I0095,,,,,,11.66,,,,,,,,,286,inventory
,,,,,,,,2025-10-17,,,,F027,,,Cherry,I0096,,,,,,18.47,,,,,,,,,271,inventory
,,,,,,,,2025-10-17,,,,F027,,,Grape,I0097,,,,,,11.53,,,,,,,,,113,inventory
,,,,,,,,2025-10-17,,,,F012,,,Apple,I0098,,,,,,4.44,,,,,,,,,269,inventory
,,,,,,,,2025-10-17,,,,F012,,,Orange,I0099,,,,,,5.63,,,,,,,,,101,inventory
,,,,,,,,2025-10-17,,,,F012,,,Cherry,I0100,,,,,,17.7,,,,,,,,,167,inventory
,,,,,,,,2025-10-17,,,,F019,,,Strawberry,I0101,,,,,,10.32,,,,,,,,,56,inventory
,,,,,,,,2025-10-17,,,,F030,,,Blueberry,I0102,,,,,,19.14,,,,,,,,,271,inventory
,,,,,,,,2025-10-17,,,,F030,,,Cherry,I0103,,,,,,17.56,,,,,,,,,247,inventory
,,,,,,,,2025-10-17,,,,F005,,,Mango,I0104,,,,,,15.88,,,,,,,,,134,inventory
,,,,,,,,2025-10-17,,,,F005,,,Orange,I0105,,,,,,5.75,,,,,,,,,79,inventory
,,,,,,,,2025-10-17,,,,F005,,,Cherry,I0106,,,,,,17.36,,,,,,,,,116,inventory
,,,,,,,,2025-10-17,,,,F014,,,Apple,I0107,,,,,,4.37,,,,,,,,,202,inventory
,,,,,,,,2025-10-17,,,,F014,,,Cherry,I0108,,,,,,18.57,,,,,,,,,236,inventory
,,,,,,,,2025-10-17,,,,F024,,,Mango,I0109,,,,,,14.77,,,,,,,,,79,inventory
,,,,,,,,2025-10-17,,,,F024,,,Cherry,I0110,,,,,,17.38,,,,,,,,,197,inventory
,,,,,,,,2025-10-17,,,,F029,,,Grape,I0111,,,,,,11.0,,,,,,,,,161,inventory
,,,,,,,,2025-10-17,,,,F010,,,Grape,I0112,,,,,,11.86,,,,,,,,,143,inventory
,,,,,,,,2025-10-17,,,,F010,,,Cherry,I0113,,,,,,18.33,,,,,,,,,292,inventory
,,,,,,,,2025-10-17,,,,F010,,,Strawberry,I0114,,,,,,10.25,,,,,,,,,134,inventory
,,,,,,,,2025-10-17,,,,F028,,,Cherry,I0115,,,,,,17.62,,,,,,,,,179,inventory
,,,,,,,,2025-10-17,,,,F028,,,Apple,I0116,,,,,,4.15,,,,,,,,,154,inventory
,,,,,,,,2025-10-17,,,,F028,,,Blueberry,I0117,,,,,,19.59,,,,,,,,,228,inventory
,,,,,,,,2025-10-17,,,,F021,,,Strawberry,I0118,,,,,,10.33,,,,,,,,,157,inventory
,,,,,,,,2025-10-17,,,,F026,,,Grape,I0119,,,,,,11.35,,,,,,,,,281,inventory
,,,,,,,,2025-10-17,,,,F026,,,Cherry,I0120,,,,,,17.6,,,,,,,,,195,inventory
,,,,,,,,2025-10-17,,,,F007,,,Cherry,I0121,,,,,,17.42,,,,,,,,,123,inventory
,,,,,,,,2025-10-17,,,,F007,,,Apple,I0122,,,,,,4.66,,,,,,,,,251,inventory
,,,,,,,,2025-10-17,,,,F007,,,Blueberry,I0123,,,,,,19.64,,,,,,,,,217,inventory
,,,,,,,,2025-10-17,,,,F011,,,Orange,I0124,,,,,,5.02,,,,,,,,,104,inventory
,,,,,,,,2025-10-17,,,,F011,,,Grape,I0125,,,,,,12.8,,,,,,,,,253,inventory
,,,,,,,,2025-10-17,,,,F004,,,Strawberry,I0126,,,,,,10.03,,,,,,,,,122,inventory
,,,,,,,,2025-10-17,,,,F004,,,Grape,I0127,,,,,,12.24,,,,,,,,,212,inventory
,,,,,,,,2025-10-17,,,,F004,,,Apple,I0128,,,,,,5.14,,,,,,,,,73,inventory
,,,,,,,,2025-10-17,,,,F015,,,Grape,I0129,,,,,,11.45,,,,,,,,,129,inventory
,,,,,,,,2025-10-17,,,,F025,,,Strawberry,I0130,,,,,,9.09,,,,,,,,,56,inventory
,,,,,,,,2025-10-17,,,,F006,,,Mango,I0131,,,,,,14.83,,,,,,,,,166,inventory
,,,,,,,,2025-10-17,,,,F006,,,Apple,I0132,,,,,,4.65,,,,,,,,,211,inventory
,,,,,,,,2025-10-17,,,,F009,,,Grape,I0133,,,,,,11.49,,,,,,,,,152,inventory
,,,,,,,,2025-10-17,,,,F009,,,Orange,I0134,,,,,,5.38,,,,,,,,,217,inventory
,,,,,,,,2025-10-17,,,,F009,,,Cherry,I0135,,,,,,18.5,,,,,,,,,278,inventory
,,,,,,,,2025-10-17,,,,F016,,,Cherry,I0136,,,,,,17.44,,,,,,,,,158,inventory
,,,,,,,,2025-10-18,,,,F015,,,Blueberry,I0137,,,,,,19.15,,,,,,,,,162,inventory
,,,,,,,,2025-10-18,,,,F002,,,Strawberry,I0138,,,,,,9.64,,,,,,,,,135,inventory
,,,,,,,,2025-10-18,,,,F002,,,Blueberry,I0139,,,,,,19.16,,,,,,,,,188,inventory
,,,,,,,,2025-10-18,,,,F018,,,Strawberry,I0140,,,,,,10.39,,,,,,,,,148,inventory
,,,,,,,,2025-10-18,,,,F008,,,Strawberry,I0141,,,,,,9.66,,,,,,,,,154,inventory
,,,,,,,,2025-10-18,,,,F008,,,Apple,I0142,,,,,,4.33,,,,,,,,,169,inventory
,,,,,,,,2025-10-18,,,,F008,,,Orange,I0143,,,,,,5.67,,,,,,,,,102,inventory
,,,,,,,,2025-10-18,,,,F004,,,Cherry,I0144,,,,,,18.39,,,,,,,,,292,inventory
,,,,,,,,2025-10-18,,,,F004,,,Mango,I0145,,,,,,15.76,,,,,,,,,269,inventory
,,,,,,,,2025-10-18,,,,F030,,,Orange,I0146,,,,,,4.7,,,,,,,,,291,inventory
,,,,,,,,2025-10-18,,,,F030,,,Cherry,I0147,,,,,,17.78,,,,,,,,,242,inventory
,,,,,,,,2025-10-18,,,,F030,,,Apple,I0148,,,,,,5.41,,,,,,,,,278,inventory
,,,,,,,,2025-10-18,,,,F005,,,Mango,I0149,,,,,,15.09,,,,,,,,,238,inventory
,,,,,,,,2025-10-18,,,,F005,,,Grape,I0150,,,,,,12.8,,,,,,,,,204,inventory
,,,,,,,,2025-10-18,,,,F025,,,Strawberry,I0151,,,,,,9.97,,,,,,,,,161,inventory
,,,,,,,,2025-10-18,,,,F025,,,Blueberry,I0152,,,,,,19.67,,,,,,,,,149,inventory
,,,,,,,,2025-10-18,,,,F022,,,Cherry,I0153,,,,,,17.93,,,,,,,,,265,inventory
,,,,,,,,2025-10-18,,,,F022,,,Orange,I0154,,,,,,5.96,,,,,,,,,82,inventory
,,,,,,,,2025-10-18,,,,F022,,,Strawberry,I0155,,,,,,9.05,,,,,,,,,186,inventory
,,,,,,,,2025-10-18,,,,F017,,,Mango,I0156,,,,,,14.05,,,,,,,,,219,inventory
,,,,,,,,2025-10-18,,,,F017,,,Cherry,I0157,,,,,,17.86,,,,,,,,,214,inventory
,,,,,,,,2025-10-18,,,,F028,,,Strawberry,I0158,,,,,,9.76,,,,,,,,,116,inventory
,,,,,,,,2025-10-18,,,,F028,,,Apple,I0159,,,,,,4.41,,,,,,,,,104,inventory
,,,,,,,,2025-10-18,,,,F011,,,Cherry,I0160,,,,,,18.5,,,,,,,,,121,inventory
,,,,,,,,2025-10-18,,,,F011,,,Orange,I0161,,,,,,4.84,,,,,,,,,262,inventory
,,,,,,,,2025-10-18,,,,F023,,,Orange,I0162,,,,,,5.5,,,,,,,,,54,inventory
,,,,,,,,2025-10-18,,,,F021,,,Blueberry,I0163,,,,,,20.3,,,,,,,,,107,inventory
,,,,,,,,2025-10-18,,,,F014,,,Apple,I0164,,,,,,5.18,,,,,,,,,101,inventory
,,,,,,,,2025-10-18,,,,F014,,,Cherry,I0165,,,,,,17.3,,,,,,,,,209,inventory
,,,,,,,,2025-10-18,,,,F014,,,Strawberry,I0166,,,,,,9.95,,,,,,,,,82,inventory
,,,,,,,,2025-10-18,,,,F016,,,Mango,I0167,,,,,,14.44,,,,,,,,,292,inventory
,,,,,,,,2025-10-18,,,,F009,,,Blueberry,I0168,,,,,,20.21,,,,,,,,,205,inventory
,,,,,,,,2025-10-18,,,,F009,,,Cherry,I0169,,,,,,18.44,,,,,,,,,241,inventory
,,,,,,,,2025-10-18,,,,F009,,,Strawberry,I0170,,,,,,10.64,,,,,,,,,249,inventory
,,,,,,,,2025-10-18,,,,F027,,,Apple,I0171,,,,,,5.36,,,,,,,,,56,inventory
,,,,,,,,2025-10-18,,,,F027,,,Mango,I0172,,,,,,15.35,,,,,,,,,197,inventory
,,,,,,,,2025-10-18,,,,F003,,,Orange,I0173,,,,,,4.15,,,,,,,,,100,inventory
,,,,,,,,2025-10-18,,,,F003,,,Grape,I0174,,,,,,12.66,,,,,,,,,226,inventory
,,,,,,,,2025-10-18,,,,F013,,,Apple,I0175,,,,,,5.04,,,,,,,,,228,inventory
,,,,,,,,2025-10-18,,,,F019,,,Mango,I0176,,,,,,14.08,,,,,,,,,250,inventory
,,,,,,,,2025-10-18,,,,F019,,,Apple,I0177,,,,,,4.36,,,,,,,,,186,inventory
,,,,,,,,2025-10-18,,,,F019,,,Cherry,I0178,,,,,,17.14,,,,,,,,,144,inventory
,,,,,,,,2025-10-18,,,,F024,,,Blueberry,I0179,,,,,,19.98,,,,,,,,,260,inventory
,,,,,,,,2025-10-18,,,,F024,,,Apple,I0180,,,,,,5.42,,,,,,,,,160,inventory
,,,,,,,,2025-10-18,,,,F024,,,Orange,I0181,,,,,,5.78,,,,,,,,,212,inventory
,,,,,,,,2025-10-18,,,,F026,,,Grape,I0182,,,,,,11.35,,,,,,,,,161,inventory
,,,,,,,,2025-10-18,,,,F026,,,Strawberry,I0183,,,,,,10.93,,,,,,,,,183,inventory
,,,,,,,,2025-10-18,,,,F007,,,Mango,I0184,,,,,,14.97,,,,,,,,,248,inventory
,,,,,,,,2025-10-18,,,,F007,,,Cherry,I0185,,,,,,18.65,,,,,,,,,161,inventory
,,,,,,,,2025-10-18,,,,F006,,,Blueberry,I0186,,,,,,20.87,,,,,,,,,262,inventory
,,,,,,,,2025-10-18,,,,F006,,,Cherry,I0187,,,,,,18.76,,,,,,,,,121,inventory
,,,,,,,,2025-10-18,,,,F006,,,Strawberry,I0188,,,,,,10.5,,,,,,,,,112,inventory
,,,,,,,,2025-10-18,,,,F012,,,Mango,I0189,,,,,,14.06,,,,,,,,,136,inventory
,,,,,,,,2025-10-18,,,,F012,,,Grape,I0190,,,,,,11.65,,,,,,,,,267,inventory
,,,,,,,,2025-10-18,,,,F012,,,Orange,I0191,,,,,,4.42,,,,,,,,,174,inventory
,,,,,,,,2025-10-18,,,,F010,,,Blueberry,I0192,,,,,,20.19,,,,,,,,,275,inventory
,,,,,,,,2025-10-18,,,,F010,,,Cherry,I0193,,,,,,17.55,,,,,,,,,275,inventory
,,,,,,,,2025-10-18,,,,F020,,,Mango,I0194,,,,,,14.38,,,,,,,,,292,inventory
,,,,,,,,2025-10-19,,,,F024,,,Mango,I0195,,,,,,15.1,,,,,,,,,240,inventory
,,,,,,,,2025-10-19,,,,F024,,,Blueberry,I0196,,,,,,20.41,,,,,,,,,140,inventory
,,,,,,,,2025-10-19,,,,F024,,,Orange,I0197,,,,,,4.61,,,,,,,,,119,inventory
,,,,,,,,2025-10-19,,,,F014,,,Apple,I0198,,,,,,3.89,,,,,,,,,234,inventory
,,,,,,,,2025-10-19,,,,F016,,,Grape,I0199,,,,,,12.9,,,,,,,,,187,inventory
,,,,,,,,2025-10-19,,,,F018,,,Strawberry,I0200,,,,,,9.97,,,,,,,,,239,inventory
,,,,,,,,2025-10-19,,,,F018,,,Cherry,I0201,,,,,,18.18,,,,,,,,,235,inventory
,,,,,,,,2025-10-19,,,,F018,,,Grape,I0202,,,,,,12.05,,,,,,,,,244,inventory
,,,,,,,,2025-10-19,,,,F025,,,Apple,I0203,,,,,,3.95,,,,,,,,,125,inventory
,,,,,,,,2025-10-19,,,,F025,,,Strawberry,I0204,,,,,,9.6,,,,,,,,,95,inventory
,,,,,,,,2025-10-19,,,,F008,,,Mango,I0205,,,,,,15.95,,,,,,,,,61,inventory
,,,,,,,,2025-10-19,,,,F008,,,Strawberry,I0206,,,,,,9.58,,,,,,,,,191,inventory
